country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",06-04-2025,28.563262,77.186937,NO2,11,102,53
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",06-04-2025,28.563262,77.186937,CO,22,115,58
India,Delhi,Delhi,"Rohini, Delhi - DPCC",06-04-2025,28.732528,77.11992,PM10,109,425,254
India,Delhi,Delhi,"Rohini, Delhi - DPCC",06-04-2025,28.732528,77.11992,NO2,8,109,54
India,Delhi,Delhi,"Rohini, Delhi - DPCC",06-04-2025,28.732528,77.11992,OZONE,2,122,7
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",06-04-2025,28.6514781,77.1473105,PM10,108,250,173
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",06-04-2025,28.6514781,77.1473105,NH3,4,9,6
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",06-04-2025,28.6514781,77.1473105,OZONE,16,60,25
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",06-04-2025,28.5504249,77.2159377,SO2,30,80,75
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",06-04-2025,28.5504249,77.2159377,CO,23,107,89
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",06-04-2025,28.710508,77.249485,NH3,5,8,6
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",06-04-2025,28.710508,77.249485,CO,22,100,78
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",06-04-2025,28.672342,77.31526,NO2,17,103,49
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",06-04-2025,28.672342,77.31526,NH3,1,6,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",06-04-2025,28.672342,77.31526,SO2,9,25,16
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",06-04-2025,23.020509,72.579261,CO,1,172,13
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",06-04-2025,23.016834,72.625775,PM2.5,21,309,122
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",06-04-2025,23.016834,72.625775,PM10,27,241,114
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",06-04-2025,23.016834,72.625775,SO2,12,116,60
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",06-04-2025,23.076793,72.627874,PM2.5,22,108,52
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",06-04-2025,23.076793,72.627874,NO2,7,71,25
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",06-04-2025,23.107969,72.574648,PM2.5,30,244,100
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",06-04-2025,23.107969,72.574648,NO2,37,112,57
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",06-04-2025,23.04307,72.562968,PM2.5,45,167,94
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",06-04-2025,23.107969,72.574648,OZONE,1,105,32
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",06-04-2025,23.002657,72.591912,NO2,30,31,30
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",06-04-2025,23.221714,72.654328,PM2.5,30,73,46
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",06-04-2025,23.221714,72.654328,PM10,43,134,82
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",06-04-2025,23.221714,72.654328,CO,6,80,10
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",06-04-2025,22.410802,73.097923,PM10,1,15,5
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",06-04-2025,20.362421,72.918013,NO2,13,14,14
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",06-04-2025,20.362421,72.918013,NH3,10,10,10
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",06-04-2025,20.362421,72.918013,SO2,28,39,36
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",06-04-2025,23.163798,72.677768,CO,2,62,21
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",06-04-2025,23.243639,72.68994,PM2.5,83,313,160
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",06-04-2025,23.243639,72.68994,NO2,28,142,74
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",06-04-2025,23.243639,72.68994,NH3,2,20,7
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",06-04-2025,23.80569,86.44268,NO2,112,128,126
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",06-04-2025,16.172806,75.659694,PM2.5,33,34,34
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",06-04-2025,13.029152,77.585901,CO,4,58,17
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",06-04-2025,12.938539,77.5901,PM10,18,44,28
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",06-04-2025,12.920984,77.584908,SO2,4,9,6
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",06-04-2025,12.920984,77.584908,CO,1,18,4
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",06-04-2025,23.243639,72.68994,CO,2,105,13
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",06-04-2025,15.888653,74.541751,NH3,2,3,2
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",06-04-2025,22.969611,72.6435,PM2.5,33,297,109
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",06-04-2025,13.0270199,77.494094,PM2.5,6,81,36
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",06-04-2025,13.428828,77.731418,OZONE,24,25,24
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",06-04-2025,13.328028,75.797056,PM2.5,NA,NA,NA
